BARRAS,ESCENARIOS,demanda
Diego_de_Almagro,m2-d19-h18,114.9
Punta_Colorada,m2-d19-h18,0
Maitencillo,m2-d19-h18,163.3
Pan_de_Azucar,m2-d19-h18,298.7
Las_Palmas,m2-d19-h18,0
Los_Vilos,m2-d19-h18,47.6
Quillota,m2-d19-h18,737.2
Nogales,m2-d19-h18,73.4
Polpaico,m2-d19-h18,437.3
Melipilla,m2-d19-h18,135.9
Cerro_Navia-Lo_Aguirre,m2-d19-h18,2181.1
Alto_Jahuel,m2-d19-h18,1839.6
Ancoa_220,m2-d19-h18,0.6
Itahue,m2-d19-h18,432.7
Tinguiririca,m2-d19-h18,71.5
Charrua,m2-d19-h18,1031.9
Colbun_220,m2-d19-h18,39.5
Temuco-Cautin,m2-d19-h18,234.7
Rahue,m2-d19-h18,156.9
Valdivia-Ciruelos,m2-d19-h18,110.6
Puerto_Montt,m2-d19-h18,283
Pichirropulli,m2-d19-h18,0
Lalackama,m2-d19-h18,0
Etaltal,m2-d19-h18,0
Paposo,m2-d19-h18,0.1
Tarapaca,m2-d19-h18,148
Lagunas,m2-d19-h18,300.8
Crucero-Encuentro,m2-d19-h18,721.4
Atacama-Mejillones,m2-d19-h18,602.1
Laberinto-Domeyko,m2-d19-h18,702.9
Cardones,m2-d19-h18,332.3
Los_Changos-Kapatur,m2-d19-h18,39.7
Rapel_220,m2-d19-h18,124.7
