BARRAS,region
Diego_de_Almagro,SIC
Punta_Colorada,SIC
Maitencillo,SIC
Pan_de_Azucar,SIC
Las_Palmas,SIC
Los_Vilos,SIC
Quillota,SIC
Nogales,SIC
Polpaico,SIC
Melipilla,SIC
Cerro_Navia-Lo_Aguirre,SIC
Alto_Jahuel,SIC
Ancoa_220,SIC
Itahue,SIC
Tinguiririca,SIC
Charrua,SIC
Colbun_220,SIC
Temuco-Cautin,SIC
Rahue,SIC
Valdivia-Ciruelos,SIC
Puerto_Montt,SIC
Pichirropulli,SIC
Lalackama,SIC
Etaltal,SIC
Paposo,SIC
Cardones,SIC
Rapel_220,SIC
Tarapaca,SING
Lagunas,SING
Crucero-Encuentro,SING
Atacama-Mejillones,SING
Laberinto-Domeyko,SING
Los_Changos-Kapatur,SING
