GENERADORES,ESCENARIOS,gen_cvar,gen_rupmax,gen_rdnmax,gen_factorcap
ex_wind_Atacama-Mejillones,m2-d19-h18,7,0,0,0.984375
ex_wind_Charrua,m2-d19-h18,7,0,0,0.040392515
ex_wind_Crucero-Encuentro,m2-d19-h18,7,0,0,0.247841544
ex_wind_Etaltal,m2-d19-h18,7,0,0,0.113821138
ex_wind_Las_Palmas,m2-d19-h18,7,0,0,0.587662338
ex_wind_Los_Vilos,m2-d19-h18,7,0,0,0.587777778
ex_wind_Maitencillo,m2-d19-h18,7,0,0,0.904329897
ex_wind_Pan_de_Azucar,m2-d19-h18,7,0,0,0.587780899
ex_wind_Puerto_Montt,m2-d19-h18,7,0,0,0.15601023
ex_wind_Punta_Colorada,m2-d19-h18,7,0,0,0.977539063
ex_wind_Rapel_220,m2-d19-h18,7,0,0,0.863636364
ex_wind_Temuco-Cautin,m2-d19-h18,7,0,0,0.035359116
ex_wind_Valdivia-Ciruelos,m2-d19-h18,7,0,0,0.072072072
Tchamma,m2-d19-h18,7,0,0,0.128324468
CSP CERRO DOMINADOR,m2-d19-h18,0,0,0,0.904347826
ex_PV_Alto_Jahuel,m2-d19-h18,0,0,0,0.607142857
ex_PV_Atacama-Mejillones,m2-d19-h18,0,0,0,0.578
ex_PV_Cardones,m2-d19-h18,0,0,0,0.625443787
ex_PV_Crucero-Encuentro,m2-d19-h18,0,0,0,0.564844955
ex_PV_Diego_de_Almagro,m2-d19-h18,0,0,0,0.606246407
ex_PV_Etaltal,m2-d19-h18,0,0,0,0.633333333
ex_PV_Itahue,m2-d19-h18,0,0,0,0.566666667
ex_PV_Laberinto-Domeyko,m2-d19-h18,0,0,0,0.663481953
ex_PV_Lagunas,m2-d19-h18,0,0,0,0.550736498
ex_PV_Lalackama,m2-d19-h18,0,0,0,0.63286119
ex_PV_Los_Vilos,m2-d19-h18,0,0,0,0.527131783
ex_PV_Maitencillo,m2-d19-h18,0,0,0,0.660653117
ex_PV_Pan_de_Azucar,m2-d19-h18,0,0,0,0.525662252
ex_PV_Polpaico,m2-d19-h18,0,0,0,0.270534351
ex_PV_Punta_Colorada,m2-d19-h18,0,0,0,0.596747967
ex_PV_Quillota,m2-d19-h18,0,0,0,0.288888889
ex_PV_Tarapaca,m2-d19-h18,0,0,0,0.15
GPolpaico,m2-d19-h18,0,0,0,0.596730245
Inca_de_Varas_I_II,m2-d19-h18,0,0,0,0.295833333
Angostura,m2-d19-h18,0,311,311,0
Antuco,m2-d19-h18,0,310,310,0.66875
Canutillar,m2-d19-h18,0,130.2,130.2,1
Cipreses,m2-d19-h18,0,105,105,1
Colbun,m2-d19-h18,0,374,374,0.205485232
ElToro,m2-d19-h18,0,450,450,1
LosCondores,m2-d19-h18,0,150,150,0
Pangue,m2-d19-h18,0,367,367,0
Pehuenche,m2-d19-h18,0,450,450,0.245614035
Pilmaiquen,m2-d19-h18,0,39,39,1
Ralco,m2-d19-h18,0,600,600,0.072608696
Rapel,m2-d19-h18,0,335,335,0.461333333
Alfalfal2,m2-d19-h18,0,0,0,0.794318182
Ancoa,m2-d19-h18,0,0,0,1
CAVA_MHAH _MHT2,m2-d19-h18,0,0,0,0.74
Chacayes,m2-d19-h18,0,0,0,0.959713518
CHAP,m2-d19-h18,0,0,0,0.534653465
Confluencia,m2-d19-h18,0,0,0,0.769607843
LaHiguera,m2-d19-h18,0,0,0,0.787096774
Las Nieves,m2-d19-h18,0,0,0,0.661538462
LasLajas,m2-d19-h18,0,0,0,0.898127341
Nuble,m2-d19-h18,0,0,0,0
Pasada_Alto_Jahuel,m2-d19-h18,0,0,0,0.891144708
Pasada_Charrua,m2-d19-h18,0,0,0,0.200739567
Pasada_Itahue,m2-d19-h18,0,0,0,0.528301887
Pasada_Maitencillo,m2-d19-h18,0,0,0,0.784313725
Pasada_Melipilla,m2-d19-h18,0,0,0,1
Pasada_Pan_de_Azucar,m2-d19-h18,0,0,0,0.553191489
Pasada_Polpaico,m2-d19-h18,0,0,0,0.714285714
Pasada_Puerto_Montt,m2-d19-h18,0,0,0,0.294871795
Pasada_Rahue,m2-d19-h18,0,0,0,0.230654762
Pasada_Temuco-Cautin,m2-d19-h18,0,0,0,0.704854369
