GENERADORES,gen_available,gen_barra,gen_pmax,gen_pmin,gen_cfijo,gen_tipo,gen_cvar0,gen_rupmax0,gen_rdnmax0,gen_factorcap0
CenAlto_Jahuel_Biomass_1,True,Alto_Jahuel,14.4,0,0,biomass,15.49,0,0,1
CenCharrua_Biomass_1,True,Charrua,220.2,0,0,biomass,26.54,0,0,1
CenCharrua_Biomass_2,True,Charrua,53.5,0,0,biomass,64.12,0,0,1
CenCharrua_Biomass_3,True,Charrua,35.3,0,0,biomass,166.73,0,0,1
CenItahue_Biomass_1,True,Itahue,30,0,0,biomass,25.87,0,0,1
CenItahue_Biomass_2,True,Itahue,17.3,0,0,biomass,54.02,0,0,1
CenItahue_Biomass_3,True,Itahue,3,0,0,biomass,143.75,0,0,1
CenMelipilla_Biomass_1,True,Melipilla,8.2,0,0,biomass,22.7,0,0,1
CenPolpaico_Biomass_1,True,Polpaico,20.2,0,0,biomass,17.52,0,0,1
CenValdivia-Ciruelos_Biomass_1,True,Valdivia-Ciruelos,38,0,0,biomass,17.06,0,0,1
CenValdivia-Ciruelos_Biomass_2,True,Valdivia-Ciruelos,23,0,0,biomass,95.69,0,0,1
CERRO PABELLON,True,Crucero-Encuentro,48,24,0,geothermal,2,0,0,1
Candelaria_U1_GNL,True,Alto_Jahuel,124.7,59.7,0,gnl,127.45875,65,65,1
Candelaria_U2_GNL,True,Alto_Jahuel,128,59.7,0,gnl,127.45875,68.3,68.3,1
CC1_GNL,True,Atacama-Mejillones,325.5,201.5,0,gnl,83.16925806,124,124,1
CC1_TG1A_05TV_GNL,True,Atacama-Mejillones,162.5,87.5,0,gnl,87.54028625,75,75,1
CC1_TG1B_05TV_GNL,True,Atacama-Mejillones,162.5,87.5,0,gnl,87.54028625,75,75,1
CC2_GNL,True,Atacama-Mejillones,325.5,201.5,0,gnl,83.16925806,124,124,1
CC2_TG2A_05TV_GNL,True,Atacama-Mejillones,162.5,87.5,0,gnl,89.90203645,75,75,1
CC2_TG2B_05TV_GNL,True,Atacama-Mejillones,162.5,87.5,0,gnl,88.65006674,75,75,1
CTM3_TG_TV_GNL,True,Atacama-Mejillones,218.5,152.5,0,gnl,79.28376069,66,66,1
CTM3_TG_TV_GNL_SIC,True,Los_Changos-Kapatur,218.5,152.5,0,gnl,79.28376069,66,66,1
KELAR_2TG_TV_GNL,True,Los_Changos-Kapatur,529.2,211.7,0,gnl,78.884,317.5,317.5,1
KELAR_TG1_05TV_GNL,True,Los_Changos-Kapatur,264.6,105.8,0,gnl,82.8282,158.8,158.8,1
KELAR_TG2_05TV_GNL,True,Los_Changos-Kapatur,264.6,105.8,0,gnl,82.8282,158.8,158.8,1
Nehuenco_01_FA_GNL,True,Quillota,21.4,0,0,gnl,98.80625,21.4,21.4,1
Nehuenco_01_GNL,True,Quillota,371.8,252.1,0,gnl,79.382,119.7,119.7,1
Nehuenco_02_GNL,True,Quillota,390.2,245,0,gnl,72.645,145.2,145.2,1
Nueva_Renca_GNL,True,Cerro_Navia-Lo_Aguirre,369.9,234.2,0,gnl,82.15300369,135.7,135.7,1
