LINEAS,linea_fmax,linea_barA,linea_barB,linea_available,linea_x,linea_dc
Alto_Jahuel -> Ancoa_220 1,3220,Alto_Jahuel,Ancoa_220,True,0.0033,true
Alto_Jahuel -> Tinguiririca 1,396,Alto_Jahuel,Tinguiririca,True,0.1439,false
Ancoa_220 -> Charrua 1,2660,Ancoa_220,Charrua,True,0.0128,false
Cardones -> Maitencillo 1,2366.7,Cardones,Maitencillo,True,0.0037,false
Cerro_Navia-Lo_Aguirre -> Alto_Jahuel 1,3762,Cerro_Navia-Lo_Aguirre,Alto_Jahuel,True,0.0021,false
Charrua -> Temuco-Cautin 1,764.1,Charrua,Temuco-Cautin,True,0.044215287,false
Colbun_220 -> Alto_Jahuel 1,900,Colbun_220,Alto_Jahuel,True,0.043,true
Colbun_220 -> Ancoa_220 1,600,Colbun_220,Ancoa_220,True,0.0001,true
Crucero-Encuentro -> Atacama-Mejillones 1,1077,Crucero-Encuentro,Atacama-Mejillones,True,0.037459711,false
Crucero-Encuentro -> Laberinto-Domeyko 1,568,Crucero-Encuentro,Laberinto-Domeyko,True,0.032318182,true
Crucero-Encuentro -> Los_Changos-Kapatur 1,1500,Crucero-Encuentro,Los_Changos-Kapatur,True,0.0074,true
Diego_de_Almagro -> Cardones 1,1085.4,Diego_de_Almagro,Cardones,True,0.06065,false
Etaltal -> Diego_de_Almagro 1,285,Etaltal,Diego_de_Almagro,True,0.128536232,false
Itahue -> Ancoa_220 1,300,Itahue,Ancoa_220,True,0.058,false
Laberinto-Domeyko -> Atacama-Mejillones 1,1741,Laberinto-Domeyko,Atacama-Mejillones,True,0.049456612,false
Lagunas -> Crucero-Encuentro 1,946,Lagunas,Crucero-Encuentro,True,0.03545,false
Lalackama -> Diego_de_Almagro 1,285,Lalackama,Diego_de_Almagro,True,0.128536232,false
Las_Palmas -> Los_Vilos 1,376,Las_Palmas,Los_Vilos,True,0.0282,false
Los_Changos-kapatur -> Cardones 1,1500,Los_Changos-Kapatur,Cardones,True,0.0671,false
Los_Changos-Kapatur -> Laberinto-Domeyko 1,1920,Los_Changos-Kapatur,Laberinto-Domeyko,True,0.03,true
Los_Vilos -> Nogales 1,376,Los_Vilos,Nogales,True,0.0386,false
Maitencillo -> Pan_de_Azucar 1,1700,Maitencillo,Pan_de_Azucar,True,0.0054,true
Maitencillo -> Punta_Colorada 1,428,Maitencillo,Punta_Colorada,True,0.0455,false
Melipilla -> Cerro_Navia-Lo_Aguirre 1,394,Melipilla,Cerro_Navia-Lo_Aguirre,True,0.03435,false
Nogales -> Polpaico 1,1500,Nogales,Polpaico,True,0.0146,false
Pan_de_Azucar -> Las_Palmas 1,448,Pan_de_Azucar,Las_Palmas,True,0.03185,false
Pan_de_Azucar_220 -> Polpaico_220 1,1700,Pan_de_Azucar,Polpaico,True,0.0112,true
Paposo -> Etaltal 1,285,Paposo,Etaltal,True,0.016263768,false
Paposo -> Lalackama 1,285,Paposo,Lalackama,True,0.016263768,false
Pichirropulli -> Charrua 1,750,Pichirropulli,Charrua,True,0.0128,true
Pichirropulli -> Valdivia-Ciruelos 1,145,Pichirropulli,Valdivia-Ciruelos,True,0.0458,false
Polpaico -> Alto_Jahuel 1,565,Polpaico,Alto_Jahuel,True,0.0511,true
Polpaico -> Cerro_Navia-Lo_Aguirre 1,3765,Polpaico,Cerro_Navia-Lo_Aguirre,True,0.0019,false
Puerto_Montt -> Pichirropulli 1,660,Puerto_Montt,Pichirropulli,True,0.0217,true
Puerto_Montt -> Rahue 1,183,Puerto_Montt,Rahue,True,0.0942,false
Punta_Colorada -> Pan_de_Azucar 1,428,Punta_Colorada,Pan_de_Azucar,True,0.0339,false
Quillota -> Polpaico 1,1300,Quillota,Polpaico,True,0.0133,false
Rahue -> Pichirropulli 1,183,Rahue,Pichirropulli,True,0.02,false
Rapel_220 -> Cerro_Navia-Lo_Aguirre 1,394,Rapel_220,Cerro_Navia-Lo_Aguirre,True,0.08015,false
Rapel_220 -> Melipilla 1,394,Rapel_220,Melipilla,True,0.0462,false
Tarapaca -> Lagunas 1,366,Tarapaca,Lagunas,True,0.01125,false
Temuco-Cautin -> Valdivia-Ciruelos 1,145,Temuco-Cautin,Valdivia-Ciruelos,True,0.1255,false
Tinguiririca -> Itahue 1,396,Tinguiririca,Itahue,True,0.05255,false
proy_Temuco-Cautin -> Valdivia-Ciruelos 3,400,Temuco-Cautin,Valdivia-Ciruelos,False,0.026,true
proy_Puerto_Montt -> Pichirropulli 3,750,Puerto_Montt,Pichirropulli,False,0.005,true
proy_Polpaico -> Cerro_Navia-Lo_Aguirre 3,1500,Polpaico,Cerro_Navia-Lo_Aguirre,False,0.001,true
proy_Polpaico -> Cerro_Navia-Lo_Aguirre 2,1500,Polpaico,Cerro_Navia-Lo_Aguirre,False,0.001,true
proy_Pan_de_Azucar_220 -> Polpaico_220 5,1500,Pan_de_Azucar,Polpaico,False,0.011,true
proy_Las_Palmas -> Los_Vilos 4,400,Las_Palmas,Los_Vilos,False,0.012,true
proy_Charrua -> Temuco-Cautin 3,400,Charrua,Temuco-Cautin,False,0.05,true
