particion_escojida,Generador,Escenario,zona,barra,tipo,Cvar,Pmin,Pmax,Pmax_eff,UC,PG_0,RES_UP,RES_DN
SIC-SING,ex_PV_Quillota,m2-d19-h18,2,Quillota,Solar,0,0,9,2.6000000009999997,1.0,2.6,0.0,0.0
SIC-SING,CenTemuco-Cautin_Diesel,m2-d19-h18,2,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,1.0,0.0,0.0,0.0
SIC-SING,Pasada_Tinguiririca,m2-d19-h18,2,Tinguiririca,Pasada,0,0,100,93.5,1.0,93.5,0.0,0.0
SIC-SING,COCHRANE_1,m2-d19-h18,1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
SIC-SING,COCHRANE_2,m2-d19-h18,1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,1.0,75.9,151.0,0.0
SIC-SING,CenLos_Vilos_Diesel,m2-d19-h18,2,Los_Vilos,diesel,195.5258888,0,257.2,257.2,1.0,0.0,0.0,0.0
SIC-SING,Proy_Wind_Paposo_3,m2-d19-h18,2,Paposo,Eolico,7,0,2501,2501,0.0,0.0,0.0,0.0
SIC-SING,CenCharrua_Biomass_1,m2-d19-h18,2,Charrua,biomass,26.54,0,220.2,220.2,1.0,220.2,0.0,0.0
SIC-SING,ex_PV_Polpaico,m2-d19-h18,2,Polpaico,Solar,0,0,327.5,88.5999999525,1.0,88.6,0.0,0.0
SIC-SING,SanIgnacio,m2-d19-h18,2,Itahue,Serie,0,0,36,1.100000016,1.0,1.1,0.0,0.0
SIC-SING,Proy_Wind_Pichirropulli_131,m2-d19-h18,2,Pichirropulli,Eolico,7,0,1396,1396,0.0,0.0,0.0,0.0
SIC-SING,Los_Vientos,m2-d19-h18,2,Cerro_Navia-Lo_Aguirre,diesel,220.2535618,58.8,129.4,129.4,0.0,-1.4210854715202e-14,0.0,0.0
SIC-SING,San_Isidro_02_GNL,m2-d19-h18,2,Quillota,gnl,79.82298576,219.9,393.4,393.4,0.0,0.0,0.0,0.0
SIC-SING,CenValdivia-Ciruelos_Diesel,m2-d19-h18,2,Valdivia-Ciruelos,diesel,163.7158888,0,114.3,114.3,1.0,0.0,0.0,0.0
SIC-SING,CERRO PABELLON,m2-d19-h18,1,Crucero-Encuentro,geothermal,2,24,48,48,1.0,48.0,0.0,0.0
SIC-SING,Proy_Wind_Charrua_80,m2-d19-h18,2,Charrua,Eolico,7,0,419,419,0.0,0.0,0.0,0.0
SIC-SING,Pasada_Charrua,m2-d19-h18,2,Charrua,Pasada,0,0,189.3,38.0000000331,1.0,38.0,0.0,0.0
SIC-SING,Isla,m2-d19-h18,2,Itahue,Serie,0,0,69,52.700000004,1.0,52.7,0.0,0.0
SIC-SING,Santa_Maria,m2-d19-h18,2,Charrua,coal,35.0006133,221.8,320.9,320.9,1.0,320.9,0.0,0.0
SIC-SING,Curillinque,m2-d19-h18,2,Itahue,Serie,0,0,87,65.799999993,1.0,65.8,0.0,0.0
SIC-SING,Angostura,m2-d19-h18,2,Charrua,Embalse,0,12,323,0,0,0.0,0.0,0.0
SIC-SING,ex_wind_Pan_de_Azucar,m2-d19-h18,2,Pan_de_Azucar,Eolico,7,0,284.8,167.4000000352,1.0,167.4,0.0,0.0
SIC-SING,Machicura,m2-d19-h18,2,Colbun_220,Serie,0,0,90,22.30000002,1.0,22.3,0.0,0.0
SIC-SING,LomaAlta,m2-d19-h18,2,Ancoa_220,Serie,0,0,39,29.299999989,1.0,29.3,0.0,0.0
SIC-SING,CC1_TG1A_05TV_GNL,m2-d19-h18,1,Atacama-Mejillones,gnl,87.54028625,87.5,162.5,162.5,0.0,0.0,0.0,0.0
SIC-SING,CC1_TG1A_05TV_Diesel,m2-d19-h18,1,Atacama-Mejillones,diesel,140.9144318,100.5,162.5,162.5,0.0,0.0,0.0,0.0
SIC-SING,LajaI,m2-d19-h18,2,Charrua,Serie,0,0,34.3,0.0,0,0.0,0.0,0.0
SIC-SING,ex_wind_Valdivia-Ciruelos,m2-d19-h18,2,Valdivia-Ciruelos,Eolico,7,0,333,23.999999976,1.0,24.0,0.0,0.0
SIC-SING,CC1_GNL,m2-d19-h18,1,Atacama-Mejillones,gnl,83.16925806,201.5,325.5,325.5,0.0,0.0,0.0,0.0
SIC-SING,Blanco,m2-d19-h18,2,Polpaico,Serie,0,0,57,49.500000021000005,1.0,49.5,0.0,0.0
SIC-SING,CC2_GNL,m2-d19-h18,1,Atacama-Mejillones,gnl,83.16925806,201.5,325.5,325.5,0.0,0.0,0.0,0.0
SIC-SING,ex_PV_Crucero-Encuentro,m2-d19-h18,1,Crucero-Encuentro,Solar,0,0,583.7,329.7000002335,1.0,329.7,0.0,0.0
SIC-SING,Proy_Wind_Charrua_77,m2-d19-h18,2,Charrua,Eolico,7,0,1291,1291,0.0,0.0,0.0,0.0
SIC-SING,CC2_TG2B_05TV_Diesel,m2-d19-h18,1,Atacama-Mejillones,diesel,137.9766749,100.5,162.5,162.5,0.0,0.0,0.0,0.0
SIC-SING,Proy_Hidro_Alto_Jahuel_0,m2-d19-h18,2,Alto_Jahuel,Pasada,0,0,553.4,553.4,0.0,0.0,0.0,0.0
SIC-SING,Cipreses,m2-d19-h18,2,Itahue,Embalse,0,0,105,105,1.0,105.0,0.0,0.0
SIC-SING,CenMaitencillo_Diesel,m2-d19-h18,2,Maitencillo,diesel,248.9489423,0,57.7,57.7,1.0,0.0,0.0,0.0
SIC-SING,Proy_Carbon_Pan_de_Azucar,m2-d19-h18,2,Pan_de_Azucar,coal,35.5,0,2000,2000,0.0,0.0,0.0,0.0
SIC-SING,KELAR_TG1_05TV_GNL,m2-d19-h18,1,Los_Changos-Kapatur,gnl,82.8282,105.8,264.6,264.6,0.0,0.0,0.0,0.0
SIC-SING,CenTarapaca_Diesel,m2-d19-h18,1,Tarapaca,diesel,229.7385061,0,23.7,23.7,1.0,0.0,0.0,0.0
SIC-SING,ex_wind_Puerto_Montt,m2-d19-h18,2,Puerto_Montt,Eolico,7,0,391,60.99999993,1.0,61.0,0.0,0.0
SIC-SING,Nueva_Renca_Diesel,m2-d19-h18,2,Cerro_Navia-Lo_Aguirre,diesel,125.7961527,195.2,312.1,312.1,0.0,0.0,0.0,0.0
SIC-SING,Proy_PV_Quillota,m2-d19-h18,2,Quillota,Solar,0,0,10000,10000,0.0,0.0,0.0,0.0
SIC-SING,CenValdivia-Ciruelos_Biomass_1,m2-d19-h18,2,Valdivia-Ciruelos,biomass,17.06,0,38,38,1.0,38.0,0.0,0.0
SIC-SING,CC1_TG1B_05TV_GNL,m2-d19-h18,1,Atacama-Mejillones,gnl,87.54028625,87.5,162.5,162.5,0.0,0.0,0.0,0.0
SIC-SING,CenValdivia-Ciruelos_Biomass_2,m2-d19-h18,2,Valdivia-Ciruelos,biomass,95.69,0,23,23,1.0,0.0,0.0,0.0
SIC-SING,Candelaria_U1_Diesel,m2-d19-h18,2,Alto_Jahuel,diesel,191.9666164,59.7,124.7,124.7,0.0,0.0,0.0,0.0
SIC-SING,Nehuenco_02_GNL,m2-d19-h18,2,Quillota,gnl,72.645,245,390.2,390.2,0.0,0.0,0.0,0.0
SIC-SING,Proy_Geotermia_Crucero-Encuentro,m2-d19-h18,1,Crucero-Encuentro,geothermal,2,0,2000,2000,0.0,0.0,0.0,0.0
SIC-SING,Proy_PV_Polpaico,m2-d19-h18,2,Polpaico,Solar,0,0,10000,10000,0.0,0.0,0.0,0.0
SIC-SING,Proy_PV_Lagunas,m2-d19-h18,1,Lagunas,Solar,0,0,10000,10000,0.0,0.0,0.0,0.0
SIC-SING,Nehuenco_03,m2-d19-h18,2,Quillota,diesel,212.2981959,29.4,105.8,105.8,0.0,0.0,0.0,0.0
SIC-SING,CTH,m2-d19-h18,1,Atacama-Mejillones,coal,37.93116244,83.8,141.8,141.8,1.0,141.8,0.0,0.0
SIC-SING,CenLaberinto-Domeyko_Diesel,m2-d19-h18,1,Laberinto-Domeyko,diesel,187.0461069,0,29.9,29.9,1.0,0.0,0.0,0.0
SIC-SING,Proy_PV_Maitencillo,m2-d19-h18,2,Maitencillo,Solar,0,0,10000,10000,0.0,0.0,0.0,0.0
SIC-SING,CenPolpaico_Biomass_1,m2-d19-h18,2,Polpaico,biomass,17.52,0,20.2,20.2,1.0,20.2,0.0,0.0
SIC-SING,CenMelipilla_Biomass_1,m2-d19-h18,2,Melipilla,biomass,22.7,0,8.2,8.2,1.0,8.2,0.0,0.0
SIC-SING,CC2_TG2B_05TV_GNL,m2-d19-h18,1,Atacama-Mejillones,gnl,88.65006674,87.5,162.5,162.5,0.0,0.0,0.0,0.0
SIC-SING,ex_PV_Laberinto-Domeyko,m2-d19-h18,1,Laberinto-Domeyko,Solar,0,0,188.4,124.9999999452,1.0,125.0,0.0,0.0
