Escenario,Falla,Generador,barra,tipo,Cvar,Pmin,Pmax,Pmax_eff,PG_0,RES_UP,PG_S,DPG
m2-d19-h18,multiple PV zona norte chico,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple PV zona norte del sic,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple Wind zona norte sic,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple Wind zona sing centro,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple Wind zona sur,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple Wind zona viii region,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple PV zona sur centro sing,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple PV zona centro,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,0.52,-2.08
m2-d19-h18,multiple PV zona norte sing,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple Wind zona iv region,ex_PV_Quillota,Quillota,Solar,0,0,9,2.6000000009999997,2.6,0.0,2.6,0.0
m2-d19-h18,multiple PV zona norte chico,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,CenTemuco-Cautin_Diesel,Temuco-Cautin,diesel,188.7256707,0,16.7,16.7,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple PV zona norte del sic,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple Wind zona norte sic,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple Wind zona sing centro,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple Wind zona sur,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple Wind zona viii region,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple PV zona sur centro sing,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple PV zona centro,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple PV zona norte sing,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple Wind zona iv region,Pasada_Tinguiririca,Tinguiririca,Pasada,0,0,100,93.5,93.5,0.0,93.5,0.0
m2-d19-h18,multiple PV zona norte chico,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte del sic,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona norte sic,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sing centro,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona sur,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona viii region,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona sur centro sing,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona centro,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte sing,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple Wind zona iv region,COCHRANE_1,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,0.0,0.0,0.0,0.0
m2-d19-h18,multiple PV zona norte chico,COCHRANE_2,Crucero-Encuentro,coal,42.5075,75.9,226.9,226.9,75.9,151.0,75.9,0.0
