particion_escojida,Linea,Escenario,Flujo_MAX,Flujo_0
SIC-SING,proy_Pichirropulli -> Charrua 5,m2-d19-h18,750,
SIC-SING,Colbun_220 -> Alto_Jahuel 1,m2-d19-h18,900,680.2
SIC-SING,proy_Pichirropulli -> Charrua 3,m2-d19-h18,750,
SIC-SING,proy_Pichirropulli -> Charrua 2,m2-d19-h18,750,
SIC-SING,Lalackama -> Diego_de_Almagro 1,m2-d19-h18,285,86.4398550497237
SIC-SING,Itahue -> Ancoa_220 1,m2-d19-h18,300,242.0
SIC-SING,Etaltal -> Diego_de_Almagro 1,m2-d19-h18,285,80.0601449502763
SIC-SING,proy_Charrua -> Temuco-Cautin 3,m2-d19-h18,400,
SIC-SING,proy_Charrua -> Temuco-Cautin 2,m2-d19-h18,400,
SIC-SING,proy_Pichirropulli -> Valdivia-Ciruelos 2,m2-d19-h18,400,
SIC-SING,Los_Vilos -> Nogales 1,m2-d19-h18,376,376.0
SIC-SING,proy_Pichirropulli -> Charrua 4,m2-d19-h18,750,
SIC-SING,Temuco-Cautin -> Valdivia-Ciruelos 1,m2-d19-h18,145,140.2
SIC-SING,Pan_de_Azucar_220 -> Polpaico_220 1,m2-d19-h18,1700,1700.0
SIC-SING,Pan_de_Azucar -> Las_Palmas 1,m2-d19-h18,448,237.2
SIC-SING,proy_Temuco-Cautin -> Valdivia-Ciruelos 4,m2-d19-h18,400,
SIC-SING,proy_Temuco-Cautin -> Valdivia-Ciruelos 5,m2-d19-h18,400,
SIC-SING,Colbun_220 -> Ancoa_220 1,m2-d19-h18,600,-600.0
SIC-SING,proy_Temuco-Cautin -> Valdivia-Ciruelos 3,m2-d19-h18,400,
SIC-SING,Puerto_Montt -> Pichirropulli 1,m2-d19-h18,660,-230.2
SIC-SING,Los_Changos-kapatur -> Cardones 1,m2-d19-h18,1500,97.0227757537715
SIC-SING,proy_Polpaico -> Cerro_Navia-Lo_Aguirre 3,m2-d19-h18,1500,
SIC-SING,proy_Polpaico -> Cerro_Navia-Lo_Aguirre 2,m2-d19-h18,1500,
SIC-SING,proy_Polpaico -> Cerro_Navia-Lo_Aguirre 4,m2-d19-h18,1500,
SIC-SING,Rapel_220 -> Melipilla 1,m2-d19-h18,394,58.2403858120722
SIC-SING,Tinguiririca -> Itahue 1,m2-d19-h18,396,396.0
SIC-SING,proy_Cerro_Navia-Lo_Aguirre -> Alto_Jahuel 3,m2-d19-h18,1500,
SIC-SING,Los_Changos-Kapatur -> Laberinto-Domeyko 1,m2-d19-h18,1920,1606.67722424623
