Nombre,gen_disponible,gen_pdi,gen_zona,gen_tecnologia,gen_pmax,gen_pmin,gen_tejecucion,gen_gbm,gen_precio,gen_precio_a,gen_precio_b,gen_precio_aleatorio,gen_precio_distribucion,gen_alternativo
EOL-01,true,6210,RESTO EOLICO,EOL,20,14,550,0,56.25,56.25,56.25,true,normal,false
EOL-07,true,1230,BUENOS AIRES,EOL,47.5,33.25,730,0,48.5,47.5,50.5,true,normal,false
EOL-10,true,1040,COMAHUE,EOL,100,70,730,0,52,51,54,true,normal,false
EOL-11,true,1130,BUENOS AIRES,EOL,99.2,69.44,730,0,50.5,49.5,52.5,true,normal,false
EOL-12,true,3130,COMAHUE,EOL,33,23.1,730,0,46.79604606,45.79604606,48.79604606,true,normal,false
EOL-13,true,3020,PATAGONIA,EOL,27.6,19.32,600,0,47.84025734,46.84025734,49.84025734,true,normal,false
EOL-21,true,7000,RESTO EOLICO,EOL,24.15,16.905,524,0,51.12118154,50.12118154,53.12118154,true,normal,false
EOL-24,true,1000,COMAHUE,EOL,50,35,730,0,51,50,53,true,normal,false
EOL-26,true,1000,COMAHUE,EOL,50,35,730,0,49,48,51,true,normal,false
EOL-30,true,3190,PATAGONIA,EOL,100,70,686,0,52.60408513,51.60408513,54.60408513,true,normal,false
EOL-31,true,3200,PATAGONIA,EOL,100,70,707,0,52.72766043,51.72766043,54.72766043,true,normal,false
EOL-34,true,1190,BUENOS AIRES,EOL,88.2,61.74,543,0,49.5,48.5,51.5,true,normal,false
EOL-38,true,3010,PATAGONIA,EOL,78.2,54.74,730,0,47.09262677,46.09262677,49.09262677,true,normal,false
EOL-39,true,3080,PATAGONIA,EOL,37.4,26.18,730,0,52.46053365,51.46053365,54.46053365,true,normal,false
EOL-41,true,3020,PATAGONIA,EOL,35,24.5,621,0,50,49,52,true,normal,false
EOL-42,true,2020,BUENOS AIRES,EOL,50,35,542,0,49.8407373,48.8407373,51.8407373,true,normal,false
EOL-36,true,3120,COMAHUE,EOL,33,23.1,573,0,49.41071429,48.41071429,51.41071429,true,normal,false
EOL-04,true,3100,PATAGONIA,EOL,87,60.9,649,0,49.33035714,48.33035714,51.33035714,true,normal,false
EOL-28,true,3200,PATAGONIA,EOL,100,70,810,0,45.03125,44.03125,47.03125,true,normal,false
EOL-40,true,3090,PATAGONIA,EOL,100,70,667,0,49,48,51,true,normal,false
EOL-02,true,1140,BUENOS AIRES,EOL,80,56,690,0,48.51875,47.51875,50.51875,true,normal,false
EOL-03,true,1260,BUENOS AIRES,EOL,99,69.3,640,0,46.59017857,45.59017857,48.59017857,true,normal,false
EOL-18,true,1260,BUENOS AIRES,EOL,96,67.2,707,0,45,44,47,true,normal,false
EOL-43,true,1160,BUENOS AIRES,EOL,50,35,490,0,47,46,49,true,normal,false
EOL-49,true,1160,BUENOS AIRES,EOL,80,56,900,0,48,47,50,true,normal,false
EOL-R1,true,1090,COMAHUE,EOL,40,28,640,0,44,43,46,true,normal,false
EOL-R2,true,1030,PATAGONIA,EOL,63,44.1,640,0,44,43,46,true,normal,false
EOL-R3,true,1250,BUENOS AIRES,EOL,52.5,36.75,640,0,43,42,45,true,normal,false
EOL-R4,true,1250,BUENOS AIRES,EOL,100,70,640,0,43,42,45,true,normal,false
EOL-R5,true,1010,COMAHUE,EOL,75,52.5,640,0,50.5,49.5,52.5,true,normal,false
EOL-R6,true,1040,COMAHUE,EOL,100,70,640,0,50.5,49.5,52.5,true,normal,false
EOL-R7,true,1090,COMAHUE,EOL,40,28,640,0,50.5,49.5,52.5,true,normal,false
EOL-R8,true,1100,COMAHUE,EOL,60,42,640,0,50.5,49.5,52.5,true,normal,false
EOL-23,true,1070,COMAHUE,EOL,100,100,730,0,52,51,54,true,normal,false
EOL-M2,true,1060,COMAHUE,EOL,100,100,730,0,51,50,53,true,normal,false
EOL-M3,true,1060,COMAHUE,EOL,100,50,730,0,50,49,52,true,normal,EOL-M1
