Limitacion,Pmax [MW],PDI
ET CHOCÓN 500 kV,670,"[1000,1010,1020,1030,1040,1050,1060,1070]"
ALICURÁ 132 kV ,67,[1090]
PUELCHES 132 kV ,67,"[1100,1110]"
BAHÍA BLANCA 132 kV,200,"[1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250]"
LÍNEA LURO - BB132 kV,10,"[1200,1210,1220]"
VIVORATA,400,"[2000,2010,2020,2030]"
COMODORO OESTE 500 kV ,200,"[3000,3010,3020,3030,3040]"
SANTA CRUZ NORTE 500 kV,200,"[3050,3060,3070,3080,3090]"
RÍO SANTA CRUZ 500 kV,200,"[3100,3110]"
PUERTO MADRYN 132 kV,0,"[3120,3130,3140,3150,3160]"
PTO MADRYN 330 kV,100,"[3120,3130,3140,3150,3160,3170,3180,3190]"
EXPORTACIÓN COMAHUE 500 kV ,970,"[1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120]"
EXPORTACIÓN BAHÍA BLANCA - VIVORATÁ,870,"[1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,2000,2010,2020,2030]"
CORREDOR PATAGONIA SUR 500 kV,130,"[3000,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100,3110]"
PUERTO MADRYN 500 kV,730,"[3120,3130,3140,3150,3160,3170,3180,3190,3200]"
CORREDOR PATAGONIA 500 kV,730,"[3000,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100,3110,3120,3130,3140,3150,3160,3170,3180,3190,3200]"
EXPORTACION COMAHUE-PATAGONIA-PCIA BUENOS AIRES,1600,"[1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,2000,2010,2020,2030,3000,3010,3020,3030,3040,3050,3060,3070,3080,3090,3100,3110,3120,3130,3140,3150,3160,3170,3180,3190,3200]"
AIMOGASTA - LA RIOJA 132 kV,0,"[4000,4010,4020]"
LA RIOJA 132 kV,80,"[4000,4010,4020,4030]"
