ID,Potencia máxima en pdi [MW],Factor de perdidas
1000,60,1.033
1010,114,1.022
1030,64,1.025
1020,54,1.046
1040,121,1.023
1070,134,1.022
1050,670,1.021
1060,670,1.017
1061,80,1.018
1062,80,1.017
1063,80,1.017
1080,67,1.024
1081,67,1.031
1090,40,1.021
1100,60,1.011
1110,13,0.992
1120,27,1.016
1121,27,1.016
1140,80,1.013
1150,0,1.009
1160,57,1.018
1161,57,1.013
1170,0,1.005
1180,54,1.007
1190,100,1.012
1200,10,1.007
1210,7,1.006
1220,0,1
1230,147,1.012
1231,7,1.013
1232,1,1.005
1240,58,1.006
1130,134,1.026
1241,87,1.011
1250,200,1.01
1260,335,1.009
1270,335,1.009
2000,33,0.998
2010,33,1.004
2011,53,1.004
2012,33,0.994
2013,13,0.994
2020,74,1.009
2030,400,1.004
2031,100,1.0126
2032,147,1.0095
2033,17,0.9991
2034,8,1.0148
3000,150,0.998
3010,150,1.001
3011,130,1.003
3020,100,1.005
3021,100,1.015
3030,350,1.015
3040,200,1.015
3050,15,1.006
3060,60,1.007
3070,22,1.008
3080,60,1.013
3081,133,1.015
3090,130,1.015
3100,87,1.014
3110,200,1.018
3120,33,1.022
3130,33,1.014
3140,40,1.018
3141,40,1.018
3150,40,1.017
3160,50,1.016
3170,27,1.037
3180,10,1.038
3190,100,1.016
3191,167,1.016
3200,730,1.016
4000,47,1.012
4001,5,1.011
4010,7,1.011
4020,0,0.995
4030,80,0.999
4040,35,0.985
4045,12,0.9631
4041,35,0.978
4042,13,0.975
4043,35,0.999
4044,3,0.9602
4050,35,0.978
4051,47,0.988
4060,50,0.99
4070,10,1.001
4080,60,1.004
4090,60,0.994
4091,113,1
4092,113,1.0033
4100,170,1.001
4101,13,1
4102,13,1
4110,170,1.001
4120,17,0.99
4121,17,0.998
4130,0,0.971
4140,35,0.998
4141,35,0.995
4150,20,0.989
4160,35,0.992
4170,70,0.997
4180,114,1.002
4171,114,1.002
4172,114,1.0058
4190,170,1.002
4200,170,1.001
4210,200,1.015
4220,134,1.015
4230,134,1.015
4240,100,1.011
4250,500,1.011
4260,87,1.034
4261,33,1.014
4262,8,1.01
4270,130,1.011
4280,500,1.012
4290,134,1.004
4291,100,1.002
4293,33,1.001
4292,2,1.003
4300,67,1.005
4310,200,1.007
4320,7,0.997
4330,0,0.997
4331,7,0.996
5000,80,1.001
5001,8,0.979
5010,85,0.995
5020,85,0.995
5030,60,0.999
5031,2,0.964
5032,60,1.007
5033,1.5,0.997
5034,20,1.002
5035,12,0.979
5036,2,0.998
5039,2,1.001
5040,17,1.002
5049,67,1.001
5050,134,0.997
5051,50,0.999
5060,50,1
5070,23,0.991
5080,80,0.986
5081,67,1
5082,27,0.992
5090,74,0.961
5091,23,1.004
5100,20,1.063
5101,2,0.958
5110,20,1.022
5120,60,1.002
5130,230,1.004
5140,230,1.001
5141,2,0.992
5142,17,0.995
5143,2,0.993
5150,67,1.002
5160,230,1.001
6000,80,1.007
6010,80,1.007
6020,80,1.007
6021,13,1.003
6022,13,1
6023,80,1.007
6030,160,1.005
6040,90,1.001
6050,90,1.004
6060,20,1.005
6140,33,1.001
6070,40,1.002
6100,40,0.998
6110,13,1.004
6080,37,1.011
6081,33,1.01
6082,20,0.997
6090,20,1.001
6091,27,1.004
6120,20,1
6130,33,1
6131,2,0.9965
6150,85,1.009
6160,85,1.008
6170,54,1.017
6171,27,1.0255
6180,40,1.013
6190,85,1.007
6200,130,1.008
6210,20,1.015
6211,20,1.014
6212,20,1.013
6213,20,1.014
6214,17,1.015
6215,20,1.003
6220,20,1.015
6221,133,1.014
6222,150,1.011
6223,147,1.006
6224,150,1.017
6230,130,1.014
6240,568,1.008
6250,368,1.008
6260,67,0.998
6270,117,0.998
6290,27,1.004
6280,47,0.997
6300,200,0.997
6301,27,0.987
6302,7,0.99
6310,200,1.009
6311,200,1.009
6320,500,1.009
6321,33,1.007
6330,45,1.009
6340,0,0.996
6350,0,0.994
6360,0,0.998
6361,0,0.998
6370,0,0.99
6380,0,0.998
6381,29,1.01
6383,12,1.0089
6382,200,1.009
6390,268,1.008
6400,368,1.007
6410,0,1.006
6411,12,1.005
6420,8,1.011
6421,14,1.0079
6430,67,1.008
6431,67,1.006
6432,33,1.0042
6440,6,1.004
6450,107,1.009
7000,70,1.021
7010,70,1.009
7011,3,0.982
7020,70,1.001
7030,100,1.006
7040,70,1.006
7050,114,1.012
7055,5,1.0057
7060,60,1.02
7061,27,1.0045
7062,8,1.0006
7063,8,1.0006
7070,60,1.001
7080,134,1.016
8000,60,1.012
8010,10,1.007
8020,60,1.011
8021,13,1.0056
8022,7,1.0075
8030,201,1.013
8031,2.5,1.0027
8040,134,1.017
8041,67,1.018
8042,13,1.01
8043,53,1.01
8044,5,1.0069
8050,17,0.987
8051,3,1
8052,12,1.001
8053,5,0.994
8054,12,1.019
8060,10,1.014
9000,40,0.99
9010,161,1
9011,20,0.9975
9020,161,0.999
9021,10,0.9962
9030,100,1.005
9500,67,1.003
9510,20,0.999
9513,8,0.9881
9514,2,0.9984
9511,6,1.007
9512,2,0.997
9520,27,0.995
9521,2,0.9986
9522,1,0.995
9523,2,1.0113
9530,4,0.9458
